anchor_idx,positive_idx,anchor,positive,anchor_smiles,positive_smiles,type,morgan_similarity,maccs_similarity,same_scaffold,scaffold,scaffold_size,scaffold_specificity,relation_score,rank_within_type,contrastive_weight
0,10,M00000,M00010,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,Oc1ccc(C2Oc3cc(O)cc(O)c3CC2O)cc1,medium,0.7894736842105263,0.967741935483871,1,c1ccc(C2CCc3ccccc3O2)cc1,6,0.8352580650673657,0.8409084041573883,1,0.8409084041573883
0,2,M00000,M00002,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,medium,0.7435897435897436,1.0,1,c1ccc(C2CCc3ccccc3O2)cc1,6,0.8352580650673657,0.821442555913951,2,0.821442555913951
1,51,M00001,M00051,O=C(OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,strong,0.8541666666666666,1.0,1,O=C(OC1Cc2ccccc2OC1c1ccccc1)c1ccccc1,2,0.9466801716388252,0.9045020257458237,1,0.9045020257458237
2,0,M00002,M00000,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,medium,0.7435897435897436,1.0,1,c1ccc(C2CCc3ccccc3O2)cc1,6,0.8352580650673657,0.821442555913951,1,0.821442555913951
2,10,M00002,M00010,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,Oc1ccc(C2Oc3cc(O)cc(O)c3CC2O)cc1,medium,0.7368421052631579,0.967741935483871,1,c1ccc(C2CCc3ccccc3O2)cc1,6,0.8352580650673657,0.8093294567889674,2,0.8093294567889674
5,7,M00005,M00007,OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)c(O)c3)c2)C(O)C(O)C1O,OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)cc3)c2)C(O)C(O)C1O,strong,0.8085106382978723,0.9714285714285714,1,C(=Cc1cccc(OC2CCCCO2)c1)c1ccccc1,4,0.8795051323147839,0.8598892956830838,1,0.8598892956830838
5,17,M00005,M00017,OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)c(O)c3)c2)C(O)C(O)C1O,COc1cc(C=Cc2cc(O)cc(OC3OC(CO)C(O)C(O)C3O)c2)ccc1O,medium,0.7884615384615384,0.9459459459459459,1,C(=Cc1cccc(OC2CCCCO2)c1)c1ccccc1,4,0.8795051323147839,0.8414891794106272,1,0.8414891794106272
6,12,M00006,M00012,O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O,COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,medium,0.75,0.9259259259259259,1,c1ccccc1,802,0.21161295934610674,0.7132234253833974,1,0.7132234253833974
6,41,M00006,M00041,O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O,O=C(C=Cc1ccc(O)cc1)OC(C(=O)O)C(O)C(=O)O,medium,0.725,0.92,1,c1ccccc1,802,0.21161295934610674,0.696741943901916,2,0.696741943901916
7,5,M00007,M00005,OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)cc3)c2)C(O)C(O)C1O,OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)c(O)c3)c2)C(O)C(O)C1O,strong,0.8085106382978723,0.9714285714285714,1,C(=Cc1cccc(OC2CCCCO2)c1)c1ccccc1,4,0.8795051323147839,0.8598892956830838,1,0.8598892956830838
