anchor_idx,positive_idx,anchor,positive,anchor_smiles,positive_smiles,type,morgan_similarity,maccs_similarity,same_scaffold,scaffold,scaffold_size,scaffold_specificity,relation_score,rank_within_type,contrastive_weight,pair_min,pair_max
2981,2964,M02981,M02964,CCCCCCCCCCCCCC(=O)OC12CC(C)C3(O)C(C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC43)C1C2(C)C,CCCCCCCCCCCC(=O)OC12CC(C)C3(O)C(C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC43)C1C2(C)C,strong,1.0,1.0,1,O=C1C=CC2C1CC1OC1C1C3CC3CCC21,3,0.9088491513636503,0.9863273727045475,1,0.9863273727045475,2964,2981
3037,2981,M03037,M02981,CCCCCCCCCCCCCCCC(=O)OC12CC(C)C3(O)C(C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC43)C1C2(C)C,CCCCCCCCCCCCCC(=O)OC12CC(C)C3(O)C(C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC43)C1C2(C)C,strong,1.0,1.0,1,O=C1C=CC2C1CC1OC1C1C3CC3CCC21,3,0.9088491513636503,0.9863273727045475,2,0.9863273727045475,2981,3037
3037,2964,M03037,M02964,CCCCCCCCCCCCCCCC(=O)OC12CC(C)C3(O)C(C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC43)C1C2(C)C,CCCCCCCCCCCC(=O)OC12CC(C)C3(O)C(C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC43)C1C2(C)C,strong,1.0,1.0,1,O=C1C=CC2C1CC1OC1C1C3CC3CCC21,3,0.9088491513636503,0.9863273727045475,1,0.9863273727045475,2964,3037
1558,2146,M01558,M02146,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O,strong,1.0,1.0,1,O=C1C=CC(=O)c2ccccc21,4,0.8795051323147839,0.9819257698472176,1,0.9819257698472176,1558,2146
1762,1809,M01762,M01809,CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCC,CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCCCCCCCC,strong,1.0,1.0,1,C1CCC(OC2CCCOC2)OC1,5,0.8555293230024756,0.9783293984503714,1,0.9783293984503714,1762,1809
1762,1810,M01762,M01810,CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCC,CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCCCCCCCCCC,strong,1.0,1.0,1,C1CCC(OC2CCCOC2)OC1,5,0.8555293230024756,0.9783293984503714,2,0.9783293984503714,1762,1810
1810,1809,M01810,M01809,CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCCCCCCCC,strong,1.0,1.0,1,C1CCC(OC2CCCOC2)OC1,5,0.8555293230024756,0.9783293984503714,2,0.9783293984503714,1809,1810
1412,1888,M01412,M01888,NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1,NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1,strong,1.0,1.0,1,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,6,0.8352580650673657,0.9752887097601048,1,0.9752887097601048,1412,1888
3263,1638,M03263,M01638,NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1,NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1,strong,1.0,1.0,1,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,6,0.8352580650673657,0.9752887097601048,1,0.9752887097601048,1638,3263
3138,3140,M03138,M03140,CCCCCCCCCCCCOC1OC(C)C(OC2OC(C)C(OC(C)=O)C(OC3OC(C)C(OC(C)=O)C(OC4OC(C)C(OC(C)=O)C(OC(C)=O)C4O)C3OC(C)=O)C2O)C(O)C1O,CCCCCCCCCCCCOC1OC(C)C(OC2OC(C)C(OC(C)=O)C(OC3OC(C)C(OC(C)=O)C(OC4OC(C)C(OC(C)=O)C(O)C4O)C3OC(C)=O)C2O)C(O)C1O,strong,0.9583333333333334,1.0,1,C1CCC(OC2CCOC(OC3CCOC(OC4CCCOC4)C3)C2)OC1,2,0.9466801716388252,0.9670020257458237,1,0.9670020257458237,3138,3140
3652,3651,M03652,M03651,CCCCCCCC(C)(C)c1ccc(C2CCCC(O)C2)c(O)c1,CCCCCCC(C)(C)c1ccc(C2CCCC(O)C2)c(O)c1,strong,1.0,1.0,1,c1ccc(C2CCCCC2)cc1,10,0.7758207207981391,0.9663731081197209,1,0.9663731081197209,3651,3652
2721,2719,M02721,M02719,Cc1ccc(OP(=O)(Oc2ccccc2)Oc2ccc(C)cc2)cc1,Cc1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,strong,1.0,0.96,1,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,6,0.8352580650673657,0.9652887097601048,1,0.9652887097601048,2719,2721
3151,3153,M03151,M03153,CCCCCCCCCCCC1CCCC(C)N1,CCCCCCCCCCCCCC1CCCC(C)N1,strong,1.0,1.0,1,C1CCNCC1,15,0.7265474540909509,0.9589821181136426,1,0.9589821181136426,3151,3153
3153,3155,M03153,M03155,CCCCCCCCCCCCCC1CCCC(C)N1,CCCCCCCCCCCCCCCC1CCCC(C)N1,strong,1.0,1.0,1,C1CCNCC1,15,0.7265474540909509,0.9589821181136426,2,0.9589821181136426,3153,3155
3151,3155,M03151,M03155,CCCCCCCCCCCC1CCCC(C)N1,CCCCCCCCCCCCCCCC1CCCC(C)N1,strong,1.0,1.0,1,C1CCNCC1,15,0.7265474540909509,0.9589821181136426,2,0.9589821181136426,3151,3155
1742,1743,M01742,M01743,CCCCCCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,strong,1.0,1.0,1,C1CCCCC1,21,0.6846698721617894,0.9527004808242684,1,0.9527004808242684,1742,1743
3941,3816,M03941,M03816,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,OCCOCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,strong,0.975609756097561,0.9777777777777777,1,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,7,0.8176983027273006,0.9524650435120761,1,0.9524650435120761,3816,3941
2108,2099,M02108,M02099,CCCCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,2,0.9494052669045677,2099,2108
2107,2100,M02107,M02100,CCCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,3,0.9494052669045677,2100,2107
2107,2099,M02107,M02099,CCCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,2,0.9494052669045677,2099,2107
2110,2099,M02110,M02099,CCCCCCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,2,0.9494052669045677,2099,2110
2107,2098,M02107,M02098,CCCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,1,0.9494052669045677,2098,2107
2106,2100,M02106,M02100,CCCCCCCCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,CCCCCCCC[n+]1cccc(S(=O)(=O)[O-])c1,strong,1.0,1.0,1,c1cc[nH+]cc1,25,0.6627017793637848,0.9494052669045677,3,0.9494052669045677,2100,2106
