smiles,rt,filename,canonical_smiles,mol_idx,mol_id
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,12.07,0001_rtdata.tsv,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,0,M00000
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,15.99,0001_rtdata.tsv,O=C(OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,1,M00001
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,8.675,0001_rtdata.tsv,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,2,M00002
C1=C(C=C(C=C1O)O)C(=O)O,7.75,0001_rtdata.tsv,O=C(O)c1cc(O)cc(O)c1,3,M00003
C1=CC(=CC=C1C(=O)O)O,10.6,0001_rtdata.tsv,O=C(O)c1ccc(O)cc1,4,M00004
C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O,14.2,0001_rtdata.tsv,OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)c(O)c3)c2)C(O)C(O)C1O,5,M00005
C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O,8.53,0001_rtdata.tsv,O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O,6,M00006
C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O,18.42,0001_rtdata.tsv,OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)cc3)c2)C(O)C(O)C1O,7,M00007
C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,20.37,0001_rtdata.tsv,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,8,M00008
C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,20.34,0001_rtdata.tsv,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,9,M00009
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O,15.55,0001_rtdata.tsv,Oc1ccc(C2Oc3cc(O)cc(O)c3CC2O)cc1,10,M00010
C1=CC(=O)OC2=CC(=C(C=C21)O)O,12.19,0001_rtdata.tsv,O=c1ccc2cc(O)c(O)cc2o1,11,M00011
COC1=C(C=CC(=C1)C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O,11.84,0001_rtdata.tsv,COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,12,M00012
COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O,12.6,0001_rtdata.tsv,COc1cc2ccc(=O)oc2c(OC2OC(CO)C(O)C(O)C2O)c1O,13,M00013
COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,21.13,0001_rtdata.tsv,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,14,M00014
COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,20.53,0001_rtdata.tsv,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O,15,M00015
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O,20.59,0001_rtdata.tsv,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)ccc1O,16,M00016
COC1=C(C=CC(=C1)C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O,17.61,0001_rtdata.tsv,COc1cc(C=Cc2cc(O)cc(OC3OC(CO)C(O)C(O)C3O)c2)ccc1O,17,M00017
C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,20.285,0001_rtdata.tsv,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,18,M00018
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O,20.49,0001_rtdata.tsv,CC1OC(OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,19,M00019
