scaffold,size,specificity
c1ccccc1,802,0.21161295934610674
c1ccc2[nH]ccc2c1,63,0.5442457568182516
c1ccncc1,41,0.5996365394334917
c1ncncn1,40,0.6028054368020348
O=C(c1cccc2ccccc12)c1c[nH]c2ccccc12,39,0.6060525864057348
O=c1cc(-c2ccccc2)oc2ccccc12,37,0.6127978022039184
c1ccc(Cc2ccccc2)cc1,33,0.6274242932504864
C1CCC2C(C1)CCC1C3CCCC3CCC21,33,0.6274242932504864
c1c[nH]cn1,29,0.6438836066809098
c1ccc(Oc2ccccc2)cc1,29,0.6438836066809098
c1ncc2ncn(C3CCCO3)c2n1,26,0.6577388176437765
O=C1C=C2CCC3C4CCCC4CCC3C2CC1,25,0.6627017793637848
O=C1CN=C(c2ccccc2)c2ccccc2N1,25,0.6627017793637848
c1cc[nH+]cc1,25,0.6627017793637848
C1CCOCC1,25,0.6627017793637848
c1ccc(OC2CCCCO2)cc1,22,0.6788243374826469
C1CCCCC1,21,0.6846698721617894
c1ccc2ccccc2c1,21,0.6846698721617894
c1ccc2ncccc2c1,21,0.6846698721617894
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,17,0.7110586460049512
O=C1CC(c2ccccc2)Oc2ccccc21,16,0.7185751418868361
O=c1[nH]cnc2c1ncn2C1CCCO1,16,0.7185751418868361
c1ccc2scnc2c1,16,0.7185751418868361
c1cncnc1,16,0.7185751418868361
c1ccc2c(c1)Nc1ccccc1S2,16,0.7185751418868361
C1=C2CCCCC2C2CCC3CCCC3C2C1,16,0.7185751418868361
O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,15,0.7265474540909509
O=c1ccc2ccccc2o1,15,0.7265474540909509
O=c1ncccn1C1CCCO1,15,0.7265474540909509
C1CCNCC1,15,0.7265474540909509
c1ccc2c(c1)OCO2,15,0.7265474540909509
O=C(Nc1ccccc1)c1ccccc1,13,0.744107216431016
O=C(c1ccccc1)c1ccccc1,12,0.7538526280001345
c1ccoc1,12,0.7538526280001345
O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,12,0.7538526280001345
c1ccc(Nc2ccccc2)cc1,11,0.7643784743661259
C1CCNC1,11,0.7643784743661259
c1ccc(-c2ccccc2)cc1,10,0.7758207207981391
O=c1ccn(C2CCCO2)c(=O)[nH]1,10,0.7758207207981391
c1ccc(C2CCCCC2)cc1,10,0.7758207207981391
O=c1cc[nH]n1-c1ccccc1,10,0.7758207207981391
c1ccc2[nH]cnc2c1,10,0.7758207207981391
