canonical_smiles,mol_id,MW,LogP,TPSA,HBD,HBA,RotatableBonds,scaffold,scaffold_specificity,scaffold_size
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,M00000,290.271,1.5460999999999998,110.38000000000001,5.0,6.0,1.0,c1ccc(C2CCc3ccccc3O2)cc1,0.8352580650673657,6
O=C(OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,M00001,442.37600000000015,2.5276000000000005,177.14,7.0,10.0,3.0,O=C(OC1Cc2ccccc2OC1c1ccccc1)c1ccccc1,0.9466801716388252,2
Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,M00002,306.27000000000004,1.2517,130.61,6.0,7.0,1.0,c1ccc(C2CCc3ccccc3O2)cc1,0.8352580650673657,6
O=C(O)c1cc(O)cc(O)c1,M00003,154.12099999999998,0.7959999999999998,77.76,3.0,3.0,1.0,c1ccccc1,0.21161295934610674,802
O=C(O)c1ccc(O)cc1,M00004,138.12199999999999,1.0903999999999998,57.53,2.0,2.0,1.0,c1ccccc1,0.21161295934610674,802
OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)c(O)c3)c2)C(O)C(O)C1O,M00005,406.38700000000006,0.1524999999999993,160.07,7.0,9.0,5.0,C(=Cc1cccc(OC2CCCCO2)c1)c1ccccc1,0.8795051323147839,4
O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O,M00006,312.23,-0.4471000000000001,161.59,5.0,7.0,6.0,c1ccccc1,0.21161295934610674,802
OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)cc3)c2)C(O)C(O)C1O,M00007,390.38800000000003,0.44689999999999946,139.84,6.0,8.0,5.0,C(=Cc1cccc(OC2CCCCO2)c1)c1ccccc1,0.8795051323147839,4
Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,M00008,228.247,2.9738000000000016,60.69,3.0,3.0,2.0,C(=Cc1ccccc1)c1ccccc1,0.7883542836784342,9
O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,M00009,302.194,1.3127999999999997,141.34,4.0,8.0,0.0,O=c1oc2cccc3c(=O)oc4cccc1c4c23,1.0,1
Oc1ccc(C2Oc3cc(O)cc(O)c3CC2O)cc1,M00010,274.272,1.8404999999999996,90.15,4.0,5.0,1.0,c1ccc(C2CCc3ccccc3O2)cc1,0.8352580650673657,6
O=c1ccc2cc(O)c(O)cc2o1,M00011,178.143,1.2042,70.67,2.0,4.0,0.0,O=c1ccc2ccccc2o1,0.7265474540909509,15
COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,M00012,326.257,-0.14410000000000034,150.58999999999997,4.0,7.0,7.0,c1ccccc1,0.21161295934610674,802
COc1cc2ccc(=O)oc2c(OC2OC(CO)C(O)C(O)C2O)c1O,M00013,370.31,-1.3141000000000005,159.05,5.0,10.0,4.0,O=c1ccc2cccc(OC3CCCCO3)c2o1,1.0,1
COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,M00014,302.28200000000004,2.518500000000001,96.22000000000001,3.0,6.0,2.0,O=C1CC(c2ccccc2)Oc2ccccc21,0.7185751418868361,16
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O,M00015,478.4060000000001,-0.23589999999999983,199.51,7.0,12.0,5.0,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,0.7538526280001345,12
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)ccc1O,M00016,624.5480000000003,-1.3840999999999999,258.42999999999995,9.0,16.0,7.0,O=c1c(OC2CCCC(COC3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,0.8795051323147839,4
COc1cc(C=Cc2cc(O)cc(OC3OC(CO)C(O)C(O)C3O)c2)ccc1O,M00017,420.41400000000004,0.4554999999999996,149.07,6.0,9.0,6.0,C(=Cc1cccc(OC2CCCCO2)c1)c1ccccc1,0.8795051323147839,4
O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,M00018,448.3800000000002,-0.24449999999999966,190.27999999999997,7.0,11.0,4.0,O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,0.7538526280001345,12
CC1OC(OCC2OC(Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,M00019,594.5220000000004,-1.3927000000000005,249.19999999999996,9.0,15.0,6.0,O=c1c(OC2CCCC(COC3CCCCO3)O2)c(-c2ccccc2)oc2ccccc12,0.8795051323147839,4
